sr_no,state,mp_name,constituency,constituency_clean,allocated_amount_inr,is_reserved_sc,is_reserved_st,is_missing_amount,is_invalid_amount,is_duplicate_constituency,is_data_quality_issue
1,Maharashtra,AASHTIKAR PATIL NAGESH BAPURAO,HINGOLI,HINGOLI,190289442.0,False,False,False,False,False,False
2,Jammu And Kashmir,ABDUL RASHID SHEIKH,BARAMULLAH,BARAMULLAH,154773472.11,False,False,False,False,False,False
3,Bihar,ABHAY KUMAR SINHA,AURANGABAD_BR,AURANGABAD,147000000.0,False,False,False,False,False,False
4,West Bengal,ABHIJIT GANGOPADHYAY,TAMLUK,TAMLUK,147000000.0,False,False,False,False,False,False
5,West Bengal,Abu Taher Khan,MURSHIDABAD,MURSHIDABAD,147000000.0,False,False,False,False,False,False
6,West Bengal,ADHIKARI SOUMENDU,KANTHI,KANTHI,147000000.0,False,False,False,False,False,False
7,Uttar Pradesh,ADITYA YADAV,BADAUN,BADAUN,147000000.0,False,False,False,False,False,False
8,Kerala,Adv Adoor Prakash,ATTINGAL,ATTINGAL,147000000.0,False,False,False,False,False,False
9,Kerala,Adv Dean Kuriakose,IDUKKI,IDUKKI,147000000.0,False,False,False,False,False,False
10,Maharashtra,ADV GOWAAL KAGADA PADAVI,NANDURBAR(ST),NANDURBAR,147816309.11,False,True,False,False,False,False
11,Kerala,ADV K FRANCIS GEORGE,KOTTAYAM,KOTTAYAM,188722256.11,False,False,False,False,False,False
12,Uttar Pradesh,AFZAL ANSARI,GHAZIPUR,GHAZIPUR,220500000.0,False,False,False,False,False,False
13,Jammu And Kashmir,AGA SYED RUHULLAH MEHDI,SRINAGAR,SRINAGAR,147000000.0,False,False,False,False,False,False
14,Uttarakhand,Ajay Bhatt,NAINITAL UDHAM SINGH NAG.,NAINITAL UDHAM SINGH NAG.,147000000.0,False,False,False,False,False,False
15,Bihar,Ajay Kumar Mandal,BHAGALPUR,BHAGALPUR,147000000.0,False,False,False,False,False,False
